id;start_date;end_date;language
1;2023-11-09T02:16:52;2023-11-09T05:03:59;FRENCH
2;2023-11-09T12:36:19;2023-11-09T05:20:02;SPANISH
3;2023-11-08T20:42:07;2023-11-08T16:09:57;FRENCH
4;2023-11-08T21:19:05;2023-11-09T06:40:44;FRENCH
5;2023-11-09T11:01:00;2023-11-09T07:35:32;SPANISH
6;2023-11-09T14:39:34;2023-11-09T07:39:46;SPANISH
7;2023-11-09T07:03:04;2023-11-08T16:24:23;FRENCH
8;2023-11-09T13:29:10;2023-11-09T12:03:50;FRENCH
9;2023-11-08T20:34:09;2023-11-09T12:50:38;FRENCH
10;2023-11-08T21:14:38;2023-11-09T15:29:02;SPANISH
