id;street_address;postal_code;city;state_province
1;linen;wide how;New Makenna;by relaxation what
2;blah easy-going;cuddly bashfully softly;Nashville-Davidson;noted
3;inside;offensively pelt;Russelfort;somber knottily
4;ew;couch;Gibsonboro;since modernise ocean
5;yet;gee through once;Parkerton;compel save
6;yuck;ew;South Anabel;who pfft sugary
7;since little aha;before;East Mariela;mockingly
8;although;taunt till;Wilberstead;amidst
9;defiantly repeatedly anenst;lovable majestically appertain;Weston;at
10;accentuate since;bronze;Blockhaven;although
